object,init,strategy,seed,psnr,ssim,lpips,precision@0.5%,recall@0.5%,fscore@0.5%,chamfer,precision@1%,recall@1%,fscore@1%,precision@2%,recall@2%,fscore@2%,num_gs,round,n_views,train_s,signal_s,ig_s,ig_gains,select_s
bookcase,uniform,ours,0,29.407446988423665,0.9640149861574173,0.034826660598628226,0.843475,0.8821885653607556,0.8623975322931571,0.011775039939331912,0.93072,0.9910803107360421,0.9599522506633028,0.965065,1.0,0.9822219621233902,86082,0,10,78.91249823570251,1.1909778118133545,,,1.1947486400604248
bookcase,uniform,ours,0,32.457100518544515,0.9719262460867564,0.023828648645818854,0.929285,0.9308276979824512,0.9300557092673347,0.004884827827391374,0.97632,0.9976862460179958,0.9868874910372596,0.995595,1.0,0.9977926382858245,101367,1,15,72.1782341003418,1.1803247928619385,,,1.181229591369629
bookcase,uniform,ours,0,32.80238110224406,0.9729990144570668,0.02349169730441645,0.92311,0.9265522830157045,0.9248279384062728,0.005056960362502308,0.97129,0.9966970323590231,0.9838295117214845,0.996065,1.0,0.9980286213124322,108376,2,20,67.86304473876953,0.6909825801849365,,,0.6913280487060547
bookcase,uniform,ours,0,32.90424003601074,0.9731732904911041,0.02393180877552368,0.91413,0.9206784776169452,0.9173925529677914,0.0052116050586068574,0.966595,0.9965684904711339,0.9813529282940886,0.99694,1.0,0.9984676555129348,111204,3,25,63.3485221862793,0.9724621772766113,,,0.9730865955352783
bookcase,uniform,ours,0,33.42725598017375,0.9744763414065043,0.023056678652452926,0.92439,0.9306768009836249,0.9275227475421217,0.005048495756519467,0.96702,0.9973285642430001,0.9819404618405191,0.99667,1.0,0.9983322231515473,113294,4,30,63.22720694541931,,,,
bookcase,uniform,ours,1,21.870495494206747,0.9390574047962824,0.10234852125868202,0.480175,0.8753143687475549,0.6201510490660797,0.1992281880909091,0.524445,0.9930755043871905,0.6864005875276876,0.55408,1.0,0.7130649644805931,97874,0,10,60.093305587768555,0.5739917755126953,,,0.5744509696960449
bookcase,uniform,ours,1,27.63175253868103,0.9623865226904551,0.054009384910265607,0.638325,0.8668250153691388,0.7352304717610549,0.11555574215264207,0.702465,0.9915274129547867,0.8223334400021005,0.749215,1.0,0.8566299740169161,109212,1,15,63.48416805267334,0.9096312522888184,,,0.9102225303649902
bookcase,uniform,ours,1,30.904925632476807,0.9737935761610667,0.029842303794187803,0.759415,0.8220924383837255,0.7895117202018483,0.028106261563667138,0.877105,0.9948415581512323,0.9322707435879074,0.939915,1.0,0.969026993450744,98859,2,20,62.17190742492676,0.9825022220611572,,,0.983290433883667
bookcase,uniform,ours,1,33.190375328063965,0.9778603931268056,0.020295578986406326,0.819915,0.8413625440116247,0.8305003251984775,0.006726894812488548,0.915755,0.9860727658861007,0.9496139260573887,0.99269,1.0,0.9963315919686453,100981,3,25,62.532795906066895,0.5183391571044922,,,0.5187735557556152
bookcase,uniform,ours,1,34.956672286987306,0.9818128685156504,0.01651454243498544,0.88121,0.8847873470072095,0.8829950502219414,0.005579349380209882,0.95998,0.9940200078242888,0.9767035038793813,0.99652,1.0,0.9982569671227937,108605,4,30,55.178773164749146,,,,
bookcase,uniform,random,0,29.382797781626383,0.964287202556928,0.03459843598927061,0.842085,0.8834404515732409,0.8622671453321951,0.012045171863910123,0.92535,0.991857150841111,0.9574500221618318,0.96381,1.0,0.9815715369613149,85651,0,10,59.20613479614258,0.5827538967132568,,,8.225440979003906e-05
bookcase,uniform,random,0,32.045738474527994,0.972245125969251,0.024592030874919145,0.89165,0.9019951936511484,0.8967927628784651,0.005774523093991889,0.96274,0.994545352931314,0.9783842623122044,0.994935,1.0,0.9974610701601807,93653,1,15,61.59860610961914,0.9815719127655029,,,7.82012939453125e-05
bookcase,uniform,random,0,33.017935784657794,0.9759188721577327,0.022120959707535803,0.859925,0.8683172190241994,0.8641007335082691,0.0059447062977785025,0.951835,0.9857597943329793,0.9685004073949696,0.996095,0.9998994020007824,0.997993575370337,100684,2,20,62.69854545593262,0.8813338279724121,,,0.00012111663818359375
